metric,channel,group,group_mean,group_sd,n
median_tonic_ratio,JAMBG,TCSP,1.017794402182721,0.051461107695764154,27
median_tonic_ratio,Menton,EAI,0.7211292037031772,0.2016308507512979,6
median_tonic_ratio,Menton,NARCO,0.6874816122723606,0.3569006455043577,7
median_tonic_ratio,Menton,SYN,1.1054864786994618,0.6925052647556205,18
median_tonic_ratio,Menton,TCSP,0.831857542550267,0.3193716592645517,35
pct_ep_with_phasic,EMG1,EAI,0.5,,1
pct_ep_with_phasic,EMG1,NARCO,0.5441360705038517,0.23263931668387322,7
pct_ep_with_phasic,EMG1,SYN,0.5013759889920881,0.258690115063627,17
pct_ep_with_phasic,EMG1,TCSP,0.525175142846132,0.1960882244528768,27
pct_ep_with_phasic,EMG2,EAI,0.75,,1
pct_ep_with_phasic,EMG2,NARCO,0.5646282626525788,0.2373407580109233,7
pct_ep_with_phasic,EMG2,SYN,0.5901402198306223,0.20549292171724592,17
pct_ep_with_phasic,EMG2,TCSP,0.4938503274283849,0.2049653014262585,27
pct_ep_with_phasic,JAMBD,EAI,0.4343885281385282,0.23497299487832463,6
pct_ep_with_phasic,JAMBD,NARCO,0.5405646419324232,0.2320787482221599,7
pct_ep_with_phasic,JAMBD,SYN,0.5051245010674835,0.2201661178110821,18
pct_ep_with_phasic,JAMBD,TCSP,0.5082672734536088,0.2352891500395472,35
pct_ep_with_phasic,JAMBG,EAI,0.75,,1
pct_ep_with_phasic,JAMBG,NARCO,0.48586224087743846,0.18120943255021504,7
pct_ep_with_phasic,JAMBG,SYN,0.5388252493980048,0.23147085564624253,17
pct_ep_with_phasic,JAMBG,TCSP,0.44219544733465405,0.16304747858965718,27
pct_ep_with_phasic,Menton,EAI,0.44699975949975945,0.23634144677061303,6
pct_ep_with_phasic,Menton,NARCO,0.5322699055981731,0.08680175919217127,7
pct_ep_with_phasic,Menton,SYN,0.590477892261518,0.18736037432757094,18
pct_ep_with_phasic,Menton,TCSP,0.5153391230360828,0.23100600225633794,35
pct_heavy,EMG1,EAI,0.5,,1
pct_heavy,EMG1,NARCO,0.49590469757643013,0.2358797851445656,7
pct_heavy,EMG1,SYN,0.44438412206988054,0.23685817483648805,17
pct_heavy,EMG1,TCSP,0.44772865831218234,0.19763827092529618,27
pct_heavy,EMG2,EAI,0.75,,1
pct_heavy,EMG2,NARCO,0.524727408693974,0.22935954488116536,7
pct_heavy,EMG2,SYN,0.5059635608629417,0.27369493854154603,17
pct_heavy,EMG2,TCSP,0.4307685008231665,0.1986803459145759,27
pct_heavy,JAMBD,EAI,0.36692821067821074,0.21889557635201942,6
pct_heavy,JAMBD,NARCO,0.45606817194963095,0.2185276216647249,7
pct_heavy,JAMBD,SYN,0.43462409882731523,0.22104432094490828,18
pct_heavy,JAMBD,TCSP,0.46053873886662383,0.23426204820928123,35
pct_heavy,JAMBG,EAI,0.75,,1
pct_heavy,JAMBG,NARCO,0.38519041186214437,0.1728292890364053,7
pct_heavy,JAMBG,SYN,0.42979175880878673,0.2480457906457155,17
pct_heavy,JAMBG,TCSP,0.3785202151303092,0.17829274784180768,27
pct_heavy,Menton,EAI,0.43658309283309277,0.24147114758452443,6
pct_heavy,Menton,NARCO,0.4948227754458757,0.09831140373950581,7
pct_heavy,Menton,SYN,0.5302369349299174,0.19076326688626263,18
pct_heavy,Menton,TCSP,0.4798619400237576,0.2374730726108716,35
pct_rswa,EMG1,EAI,0.75,,1
pct_rswa,EMG1,NARCO,0.8101236712178962,0.135420316308037,7
pct_rswa,EMG1,SYN,0.7730649335757694,0.22722490321245584,17
pct_rswa,EMG1,TCSP,0.7234919514667799,0.19286836719477213,27
pct_rswa,EMG2,EAI,0.75,,1
pct_rswa,EMG2,NARCO,0.8230677377333911,0.1203546623779256,7
pct_rswa,EMG2,SYN,0.8569179894179895,0.12405804684195451,17
pct_rswa,EMG2,TCSP,0.7295469427811151,0.19757557382384258,27
pct_rswa,JAMBD,EAI,0.8086069023569024,0.15619376687661934,6
pct_rswa,JAMBD,NARCO,0.6822570399318119,0.23635702878831227,7
pct_rswa,JAMBD,SYN,0.8075154320987655,0.21650711555068977,18
pct_rswa,JAMBD,TCSP,0.6835905556377933,0.26545869096829294,35
pct_rswa,JAMBG,EAI,1.0,,1
pct_rswa,JAMBG,NARCO,0.6985353242952027,0.23570793258041178,7
pct_rswa,JAMBG,SYN,0.8270386341671171,0.19842026141157615,17
pct_rswa,JAMBG,TCSP,0.6569057934046492,0.24494959595560312,27
pct_rswa,Menton,EAI,0.7653318903318903,0.2270566037603726,6
pct_rswa,Menton,NARCO,0.7269555812868883,0.10696279032090522,7
pct_rswa,Menton,SYN,0.8626338608867848,0.1285835537669238,18
pct_rswa,Menton,TCSP,0.8109437961897916,0.15243918902014544,35
