metric,channel,group1,group2,n1,n2,U,p_raw,r_rank_biserial,p_bonferroni,sig_bonferroni,p_holm,sig_holm
pct_rswa,EMG2,NARCO,SYN,7,17,50.5,0.5871858222287598,0.1512605042016807,1.0,False,1.0,False
pct_rswa,EMG2,NARCO,TCSP,7,27,118.0,0.326649239055264,-0.2486772486772486,1.0,False,1.0,False
pct_rswa,EMG2,SYN,TCSP,17,27,321.0,0.02787835604591153,-0.39869281045751626,0.1672701362754692,False,0.1672701362754692,False
pct_rswa,JAMBD,EAI,NARCO,6,7,27.0,0.4314014169471778,-0.2857142857142858,1.0,False,1.0,False
pct_rswa,JAMBD,EAI,SYN,6,18,50.5,0.836456976810035,0.06481481481481477,1.0,False,1.0,False
pct_rswa,JAMBD,EAI,TCSP,6,35,127.5,0.41511100311076776,-0.2142857142857142,1.0,False,1.0,False
pct_rswa,JAMBD,NARCO,SYN,7,18,38.5,0.141120485874471,0.38888888888888884,0.8467229152468261,False,0.7056024293723551,False
pct_rswa,JAMBD,NARCO,TCSP,7,35,122.5,1.0,0.0,1.0,False,1.0,False
pct_rswa,JAMBD,SYN,TCSP,18,35,405.5,0.08834844387009301,-0.2873015873015874,0.5300906632205581,False,0.5300906632205581,False
pct_rswa,JAMBG,EAI,NARCO,1,7,6.5,0.2723605833259769,-0.8571428571428572,1.0,False,0.8706138136760111,False
pct_rswa,JAMBG,EAI,SYN,1,17,13.5,0.36409219925012926,-0.588235294117647,1.0,False,0.8706138136760111,False
pct_rswa,JAMBG,EAI,TCSP,1,27,24.5,0.19144431547046492,-0.8148148148148149,1.0,False,0.8706138136760111,False
pct_rswa,JAMBG,NARCO,SYN,7,17,38.0,0.17412276273520222,0.3613445378151261,1.0,False,0.8706138136760111,False
pct_rswa,JAMBG,NARCO,TCSP,7,27,105.5,0.6537797390466038,-0.1164021164021165,1.0,False,0.8706138136760111,False
pct_rswa,JAMBG,SYN,TCSP,17,27,325.5,0.020026807790058183,-0.4183006535947713,0.1201608467403491,False,0.1201608467403491,False
pct_rswa,Menton,EAI,NARCO,6,7,31.0,0.18065268065268064,-0.4761904761904763,1.0,False,0.7226107226107226,False
pct_rswa,Menton,EAI,SYN,6,18,39.5,0.3463129314469674,0.2685185185185185,1.0,False,0.7226107226107226,False
pct_rswa,Menton,EAI,TCSP,6,35,99.0,0.8385340918940029,0.05714285714285716,1.0,False,0.8385340918940029,False
pct_rswa,Menton,NARCO,SYN,7,18,18.0,0.00682520460574396,0.7142857142857143,0.04095122763446376,True,0.04095122763446376,True
pct_rswa,Menton,NARCO,TCSP,7,35,65.5,0.05587713218020953,0.4653061224489796,0.33526279308125717,False,0.27938566090104766,False
pct_rswa,Menton,SYN,TCSP,18,35,380.5,0.21924829248196676,-0.20793650793650786,1.0,False,0.7226107226107226,False
