metric,channel,group1,group2,meandiff,p_adj_tukey,lower,upper,reject
pct_rswa,EMG1,NARCO,TCSP,-0.0866,0.7353,-0.3114,0.1381,False
pct_rswa,EMG1,SYN,TCSP,-0.0496,0.8522,-0.2137,0.1145,False
pct_rswa,EMG2,EAI,NARCO,0.0731,0.9768,-0.4037,0.5499,False
pct_rswa,EMG2,EAI,SYN,0.1069,0.9252,-0.352,0.5659,False
pct_rswa,EMG2,EAI,TCSP,-0.0205,0.9994,-0.4746,0.4337,False
pct_rswa,EMG2,NARCO,SYN,0.0339,0.9694,-0.1664,0.2341,False
pct_rswa,EMG2,NARCO,TCSP,-0.0935,0.5576,-0.2827,0.0957,False
pct_rswa,EMG2,SYN,TCSP,-0.1274,0.0804,-0.2655,0.0107,False
pct_rswa,JAMBD,EAI,NARCO,-0.1263,0.7856,-0.4827,0.23,False
pct_rswa,JAMBD,EAI,SYN,-0.0011,1.0,-0.3031,0.3009,False
pct_rswa,JAMBD,EAI,TCSP,-0.125,0.6503,-0.4081,0.158,False
pct_rswa,JAMBD,NARCO,SYN,0.1253,0.6547,-0.1601,0.4106,False
pct_rswa,JAMBD,NARCO,TCSP,0.0013,1.0,-0.2639,0.2666,False
pct_rswa,JAMBD,SYN,TCSP,-0.1239,0.3018,-0.3097,0.0619,False
pct_rswa,JAMBG,EAI,NARCO,-0.3015,0.6112,-0.9538,0.3509,False
pct_rswa,JAMBG,EAI,SYN,-0.173,0.8833,-0.8008,0.4549,False
pct_rswa,JAMBG,EAI,TCSP,-0.3431,0.4636,-0.9645,0.2783,False
pct_rswa,JAMBG,NARCO,SYN,0.1285,0.5999,-0.1455,0.4025,False
pct_rswa,JAMBG,NARCO,TCSP,-0.0416,0.9734,-0.3004,0.2172,False
pct_rswa,JAMBG,SYN,TCSP,-0.1701,0.0914,-0.3591,0.0188,False
pct_rswa,Menton,EAI,NARCO,-0.0384,0.9675,-0.2589,0.1821,False
pct_rswa,Menton,EAI,SYN,0.0973,0.5197,-0.0896,0.2842,False
pct_rswa,Menton,EAI,TCSP,0.0456,0.9015,-0.1295,0.2208,False
pct_rswa,Menton,NARCO,SYN,0.1357,0.1886,-0.0409,0.3122,False
pct_rswa,Menton,NARCO,TCSP,0.084,0.5345,-0.0801,0.2481,False
pct_rswa,Menton,SYN,TCSP,-0.0517,0.6373,-0.1667,0.0633,False
