feature,mean_abs_shap
eeg_Fp2-T4_theta_bp_abs_std,0.0007584301145653807
eeg_T3-O1_alpha_bp_abs_std,0.0007543076131916353
eeg_Fp1-C3_zc_std,0.0007499493387555698
eeg_EMG2_gamma_haut_bp_rel_std,0.0007498276575347131
eeg_Fp1-C3_beta_bp_rel_std,0.0007486821745755462
eeg_ECG_theta_bp_abs_mean,0.0007477786876298288
eeg_EOGD_alpha_bp_abs_std,0.0007441948349773092
eeg_Menton_spec_centroid_std,0.0007434854403833988
eeg_EOGG_skew_std,0.0007419809647249069
eeg_Menton_theta_bp_rel_mean,0.0007353696320864314
eeg_EOGD_beta_bp_abs_mean,0.0007352201833970897
eeg_T3-A1_spec_centroid_std,0.0007349010833991523
eeg_C3-A1_alpha_bp_rel_mean,0.0007322958913358866
eeg_Fp2-T4_gamma_haut_bp_abs_mean,0.0007318613726319698
eeg_T3-A1_gamma_haut_bp_abs_std,0.0007311281037611366
eeg_Menton_gamma_bas_bp_abs_std,0.0007303574902864863
eeg_RONF_spec_centroid_std,0.0007296325227077134
eeg_EOGD_beta_bp_abs_std,0.0007273630751102819
eeg_T4-A1_alpha_bp_abs_mean,0.0007252871943784828
eeg_T3-A1_bandwidth_std,0.000723468146149078
eeg_JAMBG_skew_std,0.0007226080669859233
eeg_ECG_theta_bp_abs_std,0.0007208964820023795
eeg_C4-A1_gamma_bas_bp_rel_mean,0.0007206579444822879
eeg_JAMBD_bandwidth_mean,0.000714527714789155
eeg_C4-A1_alpha_bp_rel_std,0.0007124377566718481
eeg_T4-O2_var_std,0.0007120651291547385
eeg_JAMBD_mean_mean,0.0007098259828376616
eeg_C3-A1_spec_entropy_mean,0.0007071688017854569
eeg_EOGG_spec_entropy_mean,0.0006979704378226683
eeg_Fp1-T3_alpha_bp_rel_std,0.0006970391765375127
eeg_Fp1-A1_theta_bp_rel_mean,0.0006926936185048089
eeg_Fp1-C3_mean_mean,0.0006905728609858064
eeg_RONF_alpha_bp_abs_mean,0.000689465666565994
eeg_Fp1-T3_gamma_haut_bp_rel_std,0.0006894101176241672
eeg_RONF_rms_mean,0.0006877773922827383
eeg_Menton_theta_bp_abs_mean,0.0006846208405141312
eeg_Fp1-A1_skew_mean,0.0006833727590035621
eeg_RONF_beta_bp_rel_std,0.0006822558455415439
eeg_Fp1-T3_beta_bp_rel_std,0.0006782158993560064
eeg_Fp1-A1_spec_entropy_mean,0.0006767155947162077
eeg_JAMBD_var_std,0.0006764169291542373
eeg_C4-A1_var_std,0.0006752057081805651
eeg_Fp2-C4_gamma_bas_bp_rel_mean,0.0006744645489663118
eeg_ratio_alpha_over_beta_mean,0.0006740478970583683
eeg_T4-A1_skew_std,0.0006739482949598723
eeg_Fp1-A1_alpha_bp_abs_mean,0.0006708294406513538
eeg_C3-A1_spec_centroid_std,0.00066825655368186
eeg_Fp1-T3_peak_freq_mean,0.0006638319772600201
eeg_Fp2-A1_bandwidth_mean,0.0006635201030022966
eeg_JAMBD_spec_centroid_mean,0.000661870648213384
eeg_RONF_bandwidth_mean,0.0006568762306668982
eeg_ECG_bandwidth_mean,0.0006561821737536656
eeg_T3-A1_zc_mean,0.0006560019982084664
eeg_Fp1-A1_delta_bp_abs_mean,0.0006525795296750608
eeg_JAMBD_bandwidth_std,0.0006480957523631158
eeg_Fp2-T4_kurt_std,0.0006432149477958288
eeg_T3-O1_alpha_bp_rel_std,0.0006384913355517657
eeg_Fp1-A1_skew_std,0.0006320413611754236
eeg_EOGD_mean_std,0.0006283435469142741
eeg_T3-O1_delta_bp_abs_std,0.0006231220040337646
eeg_T4-A1_spec_centroid_std,0.0006205882043650994
eeg_Fp2-T4_delta_bp_abs_mean,0.0006167552573905622
eeg_EMG2_alpha_bp_abs_mean,0.0006163191666129824
eeg_EOGD_gamma_haut_bp_abs_mean,0.0006148668757597853
eeg_EMG2_peak_freq_mean,0.0006146371121529279
eeg_EMG2_gamma_bas_bp_abs_std,0.0006137388886097917
eeg_T3-A1_theta_bp_rel_std,0.0006113292039911039
eeg_C3-A1_spec_entropy_std,0.0006105206397407321
eeg_Fp2-A1_rms_mean,0.000609132220902899
eeg_EMG2_peak_freq_std,0.0006061520503427761
eeg_Menton_beta_bp_rel_std,0.0006024340358212917
eeg_JAMBD_spec_entropy_std,0.000602167497604007
eeg_EMG2_gamma_haut_bp_abs_mean,0.0006018540867782896
eeg_C4-A1_std_std,0.0006007762656109985
eeg_T4-A1_gamma_haut_bp_rel_mean,0.0006005321686784206
eeg_EOGG_beta_bp_rel_mean,0.0005995836661697678
eeg_ECG_theta_bp_rel_std,0.0005960631591586125
eeg_JAMBG_var_mean,0.000591192624756325
eeg_Fp2-C4_theta_bp_rel_std,0.0005860834973099911
eeg_T3-O1_linelen_mean,0.0005827633822962256
eeg_C4-A1_beta_bp_rel_mean,0.0005819069145373153
eeg_EOGG_gamma_bas_bp_abs_std,0.0005805975966062636
eeg_C3-A1_theta_bp_abs_std,0.0005796342187951703
eeg_EOGD_rms_mean,0.0005768654094121064
eeg_RONF_theta_bp_abs_std,0.0005764335797037373
eeg_Fp1-T3_gamma_haut_bp_abs_mean,0.000575875035787744
eeg_EMG1_gamma_bas_bp_rel_std,0.0005752985910612167
eeg_Fp2-T4_gamma_haut_bp_abs_std,0.0005746725520994629
eeg_EOGD_spec_entropy_std,0.000573481916860319
eeg_RONF_gamma_haut_bp_rel_std,0.0005729476944618995
eeg_Fp2-C4_spec_centroid_std,0.0005710333535410564
eeg_T4-O2_peak_freq_mean,0.0005698804460885848
eeg_ECG_alpha_bp_rel_mean,0.0005671680983528912
eeg_EMG1_spec_centroid_mean,0.0005661260883954667
eeg_EMG1_bandwidth_std,0.0005659524296924578
eeg_T3-A1_alpha_bp_abs_mean,0.0005654186017404626
eeg_C3-A1_std_std,0.0005645239289483608
eeg_EOGG_spec_centroid_mean,0.0005625276897581445
eeg_Fp1-T3_zc_std,0.0005618162656833917
eeg_Fp1-T3_theta_bp_rel_mean,0.0005596528622045643
eeg_JAMBG_mean_std,0.000558841248818509
eeg_EMG1_var_mean,0.0005578013367573268
eeg_RONF_bandwidth_std,0.0005567771003162496
eeg_JAMBG_spec_centroid_std,0.0005565422405956329
eeg_T4-O2_alpha_bp_rel_std,0.0005561006386845408
eeg_T4-O2_mean_std,0.0005558194991050143
eeg_T4-O2_rms_std,0.0005528623032605797
eeg_EMG1_mean_mean,0.0005525728366236764
eeg_EMG1_beta_bp_rel_std,0.0005524590951757983
eeg_T3-A1_gamma_bas_bp_abs_mean,0.0005511535354090425
eeg_Fp2-C4_beta_bp_abs_std,0.0005502680264590336
eeg_T4-A1_spec_entropy_mean,0.0005487799862825532
eeg_Fp1-T3_bandwidth_mean,0.000547649605469993
eeg_Menton_rms_mean,0.0005454492241707157
eeg_EOGG_std_mean,0.0005454248767087997
eeg_JAMBD_linelen_std,0.000540317748138471
eeg_ECG_zc_std,0.0005370526711778327
eeg_T3-A1_theta_bp_abs_mean,0.0005357500531451305
eeg_T3-O1_alpha_bp_abs_mean,0.0005356757467702343
eeg_EMG2_rms_std,0.0005334890470979846
eeg_Fp1-T3_beta_bp_rel_mean,0.000527776960696153
eeg_C3-A1_beta_bp_abs_mean,0.0005266488783615365
eeg_Fp2-C4_theta_bp_abs_mean,0.0005246924852081094
eeg_RONF_mean_mean,0.0005235356312487055
eeg_C3-A1_zc_mean,0.0005232346032717505
eeg_RONF_spec_centroid_mean,0.0005218763224671181
eeg_RONF_std_mean,0.0005215662225187552
eeg_C4-A1_skew_std,0.0005209296933989972
eeg_T3-O1_gamma_bas_bp_rel_std,0.0005202352484983292
eeg_Fp2-A1_theta_bp_rel_mean,0.0005188839896060865
eeg_EOGG_kurt_mean,0.0005160035754469564
eeg_T3-O1_beta_bp_abs_std,0.0005152392444344278
eeg_ECG_gamma_haut_bp_abs_std,0.0005120520465440129
eeg_T3-A1_rms_mean,0.000511393891014406
eeg_T3-A1_kurt_std,0.0005095816409759376
eeg_JAMBD_theta_bp_rel_std,0.0005063731319096243
eeg_Fp2-C4_beta_bp_rel_mean,0.0005040886730489942
eeg_EOGD_skew_mean,0.0005028033138732045
eeg_T4-A1_rms_std,0.0005000658230988447
eeg_RONF_gamma_bas_bp_abs_mean,0.0004980782078313739
eeg_Fp1-A1_spec_centroid_mean,0.0004977643340683455
eeg_C3-A1_gamma_bas_bp_rel_mean,0.0004976909441497986
eeg_ECG_spec_centroid_std,0.0004966844857067493
eeg_T4-O2_ptp_mean,0.0004939989518247487
eeg_ECG_delta_bp_abs_mean,0.0004931028637429457
eeg_RONF_gamma_haut_bp_abs_mean,0.0004928111034117312
eeg_JAMBG_zc_mean,0.0004927276384786593
eeg_EOGG_alpha_bp_rel_mean,0.0004916576434738415
eeg_T3-O1_beta_bp_rel_mean,0.0004915720374276562
eeg_EMG2_theta_bp_abs_mean,0.0004901415934411412
eeg_Fp2-T4_alpha_bp_abs_std,0.0004897046022853215
eeg_RONF_beta_bp_abs_std,0.0004878111203998257
eeg_Fp2-T4_gamma_haut_bp_rel_std,0.000487566700584481
eeg_ECG_gamma_bas_bp_abs_std,0.0004875080375964572
eeg_Fp1-C3_rms_mean,0.00048737045373948684
eeg_Fp1-T3_gamma_haut_bp_rel_mean,0.0004865081392194506
eeg_T4-A1_kurt_std,0.00048596802225526434
eeg_C4-A1_gamma_bas_bp_rel_std,0.0004830652792139319
eeg_Fp2-C4_gamma_bas_bp_abs_std,0.000481901643717129
eeg_T4-A1_var_std,0.000480964689576416
eeg_JAMBD_gamma_bas_bp_rel_mean,0.00048036658602660607
eeg_EMG2_beta_bp_rel_mean,0.0004801482083225194
eeg_Fp2-T4_spec_centroid_std,0.0004784241177733353
eeg_T4-O2_gamma_bas_bp_abs_mean,0.0004777242295356918
eeg_T4-O2_spec_entropy_std,0.0004769847504691056
eeg_Fp1-A1_delta_bp_abs_std,0.00047112837360606256
eeg_EOGD_beta_bp_rel_std,0.0004689508983478553
eeg_EOGD_peak_freq_mean,0.0004686147664582541
eeg_Menton_alpha_bp_rel_std,0.0004670732717220226
eeg_T4-A1_mean_mean,0.00046670724513353263
eeg_JAMBG_gamma_bas_bp_abs_mean,0.000464582678416242
eeg_C3-A1_delta_bp_abs_std,0.0004643702272242304
eeg_Fp1-A1_rms_std,0.0004639258370458621
eeg_C3-A1_spec_centroid_mean,0.0004627090545378686
eeg_Fp2-T4_peak_freq_std,0.00046230308486918114
eeg_ECG_beta_bp_rel_mean,0.0004602884218471028
eeg_Fp2-A1_skew_mean,0.0004602075151498397
eeg_Fp2-A1_spec_entropy_std,0.00045988060202795214
eeg_Menton_mean_mean,0.00045887525121443323
eeg_Menton_beta_bp_rel_mean,0.00045864511690368973
eeg_JAMBD_delta_bp_abs_std,0.00045860932685789845
eeg_Fp2-A1_spec_centroid_std,0.00045771192191120994
eeg_ECG_ptp_std,0.0004568616006454778
eeg_Fp2-T4_zc_std,0.00045318305689520525
eeg_ECG_rms_std,0.00045301616591135723
eeg_Fp2-C4_std_mean,0.0004524197138558874
eeg_EMG1_peak_freq_std,0.0004522122742471476
eeg_Fp1-A1_linelen_mean,0.0004512837531502356
eeg_Menton_gamma_haut_bp_rel_std,0.00045128223336665847
eeg_T3-A1_theta_bp_abs_std,0.00044962054089631084
eeg_EOGG_beta_bp_abs_mean,0.00044570822329911125
eeg_EMG2_spec_entropy_mean,0.00044453390870983296
