feature,importance_mean,importance_std
eeg_EOGD_rms_std,0.0,0.0
eeg_EOGD_zc_mean,0.0,0.0
eeg_EOGD_zc_std,0.0,0.0
eeg_EOGD_skew_mean,0.0,0.0
eeg_EOGD_skew_std,0.0,0.0
eeg_ECG_ptp_mean,0.0,0.0
eeg_ECG_ptp_std,0.0,0.0
eeg_ECG_linelen_mean,0.0,0.0
eeg_ECG_linelen_std,0.0,0.0
eeg_EOGD_mean_mean,0.0,0.0
eeg_EOGD_mean_std,0.0,0.0
eeg_EOGD_std_mean,0.0,0.0
eeg_EOGD_std_std,0.0,0.0
eeg_ECG_rms_mean,0.0,0.0
eeg_ECG_rms_std,0.0,0.0
eeg_ECG_zc_mean,0.0,0.0
eeg_ECG_zc_std,0.0,0.0
eeg_ECG_skew_mean,0.0,0.0
eeg_ECG_skew_std,0.0,0.0
eeg_ECG_kurt_mean,0.0,0.0
eeg_ECG_kurt_std,0.0,0.0
eeg_Fp1-T3_gamma_bas_bp_abs_mean,0.0,0.0
eeg_Fp1-T3_gamma_bas_bp_abs_std,0.0,0.0
eeg_Fp1-T3_gamma_haut_bp_abs_mean,0.0,0.0
eeg_Fp1-T3_gamma_haut_bp_abs_std,0.0,0.0
eeg_Fp1-T3_delta_bp_rel_mean,0.0,0.0
eeg_Fp1-T3_delta_bp_rel_std,0.0,0.0
eeg_Fp1-T3_theta_bp_rel_mean,0.0,0.0
eeg_Fp1-T3_theta_bp_rel_std,0.0,0.0
eeg_Fp1-T3_delta_bp_abs_mean,0.0,0.0
eeg_Fp1-T3_delta_bp_abs_std,0.0,0.0
eeg_Fp1-T3_theta_bp_abs_mean,0.0,0.0
eeg_Fp1-T3_theta_bp_abs_std,0.0,0.0
eeg_Fp1-T3_alpha_bp_abs_mean,0.0,0.0
eeg_Fp1-T3_alpha_bp_abs_std,0.0,0.0
eeg_Fp1-T3_beta_bp_abs_mean,0.0,0.0
eeg_Fp1-T3_beta_bp_abs_std,0.0,0.0
eeg_EOGG_skew_mean,0.0,0.0
eeg_EOGG_skew_std,0.0,0.0
eeg_EOGG_kurt_mean,0.0,0.0
eeg_EOGG_kurt_std,0.0,0.0
eeg_EOGG_ptp_mean,0.0,0.0
eeg_EOGG_ptp_std,0.0,0.0
eeg_EOGG_linelen_mean,0.0,0.0
eeg_EOGG_linelen_std,0.0,0.0
eeg_EOGG_std_mean,0.0,0.0
eeg_EOGG_std_std,0.0,0.0
eeg_EOGG_var_mean,0.0,0.0
eeg_EOGG_var_std,0.0,0.0
