channel,metric,group,mean,sd,n
JAMBG,tonic_eog_fraction,SYN,26.863915787308613,24.626005429223767,18
JAMBG,tonic_eog_fraction,TCSPi,39.15143874544624,24.49127063559695,31
JAMBG,tonic_events_per_min,Narco,5.821137749232538,3.6135945089743178,11
JAMBG,tonic_events_per_min,SYN,6.92250855052698,3.4014419571353165,18
JAMBG,tonic_events_per_min,TCSPi,7.167086758193759,3.602108356608662,31
EMG1,phasic_ratio,Narco,0.1078591402427276,0.06977597200456213,11
EMG1,phasic_ratio,SYN,0.10107055889118256,0.13432985238413359,18
EMG1,phasic_ratio,TCSPi,0.0911351256461085,0.09081054959549978,31
EMG1,rswa_fraction,Narco,48.38204907620702,18.344868749007865,11
EMG1,rswa_fraction,SYN,44.448314677835754,24.612099920322812,18
EMG1,rswa_fraction,TCSPi,54.910557970797974,21.745364809880567,31
JAMBG,phasic_events_per_min,Narco,0.5835505933530277,0.24789733655007348,11
JAMBG,phasic_events_per_min,SYN,0.549906040010876,0.42884724432323723,18
JAMBG,phasic_events_per_min,TCSPi,0.3898363680884963,0.3647800332529074,31
EMG1,tonic_eog_fraction,Narco,23.464255610739517,24.01605169957704,11
EMG1,tonic_eog_fraction,SYN,26.986249673153605,24.770845077801617,18
EMG1,tonic_eog_fraction,TCSPi,39.88551339441576,24.59732692323625,31
EMG1,tonic_ratio,Narco,2.0508579590863905,0.6146806566965319,11
EMG1,tonic_ratio,SYN,1.8460222635286156,0.9697275660464307,18
EMG1,tonic_ratio,TCSPi,1.7273796287184082,1.011103099618313,31
EMG1,tonic_events_per_min,Narco,7.257307361431054,2.75173031235118,11
EMG1,tonic_events_per_min,SYN,6.667247201675362,3.6918149880484217,18
EMG1,tonic_events_per_min,TCSPi,8.236583695619696,3.261804721482085,31
EMG1,phasic_events_per_min,Narco,0.6243511885991263,0.35124948122002336,11
EMG1,phasic_events_per_min,SYN,0.5311254677573412,0.41378656860208896,18
EMG1,phasic_events_per_min,TCSPi,0.6422753466763911,0.5024788741962007,31
EMG2,phasic_ratio,Narco,0.11627719918683775,0.07849055945226993,11
EMG2,phasic_ratio,SYN,0.11216861944315577,0.0952512746999216,18
EMG2,phasic_ratio,TCSPi,0.09745599655039955,0.0866694472677821,31
EMG2,rswa_fraction,Narco,45.726576802196455,17.67129859824985,11
EMG2,rswa_fraction,SYN,46.29120089483267,21.87897164176364,18
EMG2,rswa_fraction,TCSPi,53.802332913760935,20.161235724526627,31
EMG2,tonic_eog_fraction,Narco,23.559451735606668,23.842628701409815,11
EMG2,tonic_eog_fraction,SYN,27.418535076395088,25.270314350021575,18
EMG2,tonic_eog_fraction,TCSPi,39.751432717840274,24.486590586259727,31
EMG2,tonic_ratio,Narco,2.121700321190115,0.7410475585757877,11
EMG2,tonic_ratio,SYN,1.9777330737486478,0.8399360366352436,18
EMG2,tonic_ratio,TCSPi,1.856654325423427,1.087358589667018,31
EMG2,tonic_events_per_min,Narco,6.858986520329466,2.6506947897374773,11
EMG2,tonic_events_per_min,SYN,6.9436801342249,3.2818457462645463,18
EMG2,tonic_events_per_min,TCSPi,8.07034993706414,3.0241853586789946,31
EMG2,phasic_events_per_min,Narco,0.6967220238972021,0.34068813209824816,11
EMG2,phasic_events_per_min,SYN,0.7159091650834813,0.45864569186776194,18
EMG2,phasic_events_per_min,TCSPi,0.6578600372796504,0.4270177887726006,31
