band,channel,value,group1,group2,n1,n2,U,p_raw,r_rb,p_holm,stars
delta,T4-A1,rel,SYN,TCSPi,18,39,294.0,0.3320634324382258,0.16239316239316237,1.0,
delta,T4-A1,abs,EAI,Narco,6,9,10.0,0.04955044955044956,0.6296296296296297,0.19820179820179823,
delta,T4-A1,abs,EAI,SYN,6,15,60.0,0.2672121480171016,-0.33333333333333326,0.8016364440513047,
delta,T4-A1,abs,EAI,TCSPi,6,36,132.0,0.4079167545149573,-0.22222222222222232,0.8158335090299146,
delta,T4-A1,abs,Narco,SYN,9,15,123.0,0.0010396675335446232,-0.8222222222222222,0.006238005201267739,**
delta,T4-A1,abs,Narco,TCSPi,9,36,265.0,0.0036321385503870485,-0.6358024691358024,0.018160692751935242,*
delta,T4-A1,abs,SYN,TCSPi,15,36,270.0,1.0,0.0,1.0,
delta,C4-A1,rel,EAI,Narco,7,11,21.0,0.12594268476621417,0.4545454545454546,0.5037707390648567,
delta,C4-A1,rel,EAI,SYN,7,18,71.0,0.6572789681714166,-0.12698412698412698,1.0,
delta,C4-A1,rel,EAI,TCSPi,7,38,137.0,0.9146543316140595,-0.03007518796992481,1.0,
delta,C4-A1,rel,Narco,SYN,11,18,142.0,0.056103227255365144,-0.43434343434343425,0.33661936353219085,
delta,C4-A1,rel,Narco,TCSPi,11,38,285.0,0.07043426692604161,-0.36363636363636354,0.35217133463020805,
delta,C4-A1,rel,SYN,TCSPi,18,38,312.0,0.604776560090668,0.08771929824561409,1.0,
delta,C4-A1,abs,EAI,Narco,6,10,9.0,0.02247752247752248,0.7,0.08991008991008992,
delta,C4-A1,abs,EAI,SYN,6,15,66.0,0.11222910216718267,-0.46666666666666656,0.336687306501548,
delta,C4-A1,abs,EAI,TCSPi,6,36,152.0,0.11989280538702873,-0.40740740740740744,0.336687306501548,
delta,C4-A1,abs,Narco,SYN,10,15,136.0,0.0007909681707475441,-0.8133333333333332,0.0039548408537377205,**
delta,C4-A1,abs,Narco,TCSPi,10,36,318.0,0.0002504615428450475,-0.7666666666666666,0.001502769257070285,**
