,AI_atonia_index,pct_epochs_phasic,pct_any_RSWA,pct_tonic,episode_count,phasic_density_per_min,duration_mean,duration_median,duration_sd,duration_max,interval_mean,interval_median,interval_variance,interval_cv,mean_relative_amplitude,max_relative_amplitude,short_density_per_min,medium_density_per_min,long_density_per_min,phasic_tonic_ratio,progression_index
interval_mean,0.678596572788052,-0.9439709089141154,-0.8227260610312565,-0.7977771550231139,-0.5466899074938724,-0.9969719547188108,-0.3301480539720297,-0.29040611006154354,-0.19744495861676978,-0.18488686087951997,1.0,0.8472337560546782,0.9659532874681392,0.5163534952512644,-0.006520892145689897,-0.12504528397615405,-0.8513320507420445,-0.6486257408027287,-0.885706669239209,0.15256426906897116,0.22090217468603993
interval_median,0.647446745729124,-0.7662252136572595,-0.6883316311956236,-0.682195474180886,-0.48948832786973473,-0.8376539164069396,-0.16649233577539194,-0.12957028111979357,-0.08571444329961621,-0.16486417367932707,0.8472337560546782,1.0,0.7498575626916089,0.199247044851313,0.08389277168586597,-0.003068078507368813,-0.7798916476054882,-0.48818042427306313,-0.7237515018208726,0.2187238646614847,0.14760456260791338
interval_variance,0.6582365003417634,-0.9273547505126453,-0.8347505126452495,-0.8073820915926179,-0.48801060881149316,-0.9656322624743677,-0.35952398855240797,-0.3126090366672287,-0.24500341763499658,-0.2277548335764716,0.9659532874681392,0.7498575626916089,1.0,0.6941626794258373,-0.002734107997265892,-0.13049897470950103,-0.8152584161515904,-0.6421413827173205,-0.8648803827751196,0.17375256322624744,0.211672545636818
interval_cv,0.3566643882433356,-0.5243745727956255,-0.5427477785372522,-0.5192344497607655,-0.05704872315797856,-0.5149145591250854,-0.34582601385643047,-0.2674275824942224,-0.2889131920710868,-0.1788140572821676,0.5163534952512644,0.199247044851313,0.6941626794258373,1.0,0.00910457963089542,-0.031606288448393714,-0.3713973236791743,-0.43244610319971466,-0.47658236500341766,0.16768284347231716,0.20111831162327906
mean_relative_amplitude,0.27403964456596036,0.10523581681476417,-0.11969924812030075,-0.1470403280929597,0.10823262430906214,0.010854408749145592,0.17687065530594526,0.27488120901840296,0.13274094326725905,-0.0011854721590109658,-0.006520892145689897,0.08389277168586597,-0.002734107997265892,0.00910457963089542,1.0,0.8176349965823649,-0.10855892909780017,0.0565421263501413,0.09473684210526316,0.3648667122351333,0.0968474012330439
max_relative_amplitude,0.2119207108680793,0.17878332194121668,-0.055775803144224194,-0.08196855775803144,0.35563515078640173,0.13249487354750514,0.06683572683496415,0.12277140781458623,0.08404647983595352,0.1348554680345177,-0.12504528397615405,-0.003068078507368813,-0.13049897470950103,-0.031606288448393714,0.8176349965823649,1.0,0.12447361341390085,0.12578435796606627,0.1236637047163363,0.34118933697881065,0.13170918456791997
short_density_per_min,-0.4893628703108896,0.6967733179700368,0.5726278423770865,0.5563303306032102,0.576553915232288,0.850560576722185,-0.05002768723966758,-0.07242828659220153,-0.040415641613740214,0.14131478525375107,-0.8513320507420445,-0.7798916476054882,-0.8152584161515904,-0.3713973236791743,-0.10855892909780017,0.12447361341390085,1.0,0.36299375437187015,0.6845501841396296,-0.02447361247922699,-0.03634325105207676
medium_density_per_min,-0.5085647104331736,0.6909048654762551,0.6394209080694291,0.6137472830003853,0.2538860103864198,0.6539392200094316,0.4595309541656394,0.452518479325983,0.31032550003583353,0.16551980798901625,-0.6486257408027287,-0.48818042427306313,-0.6421413827173205,-0.43244610319971466,0.0565421263501413,0.12578435796606627,0.36299375437187015,1.0,0.41917182740523035,-0.18022119237763848,-0.39100417012858313
long_density_per_min,-0.6382501708817497,0.8942993848257005,0.7793028024606972,0.7572932330827067,0.5118253405970667,0.8892959671907039,0.4324294766299011,0.38801543892617424,0.26591934381408067,0.21702150456921016,-0.885706669239209,-0.7237515018208726,-0.8648803827751196,-0.47658236500341766,0.09473684210526316,0.1236637047163363,0.6845501841396296,0.41917182740523035,1.0,-0.18597402597402599,-0.2142017338395443
phasic_tonic_ratio,0.6584005468215994,-0.22930963773069035,-0.6040464798359536,-0.6473000683526999,0.014067370268286592,-0.1534107997265892,-0.36843724154819374,-0.2273356089875067,-0.36749145591250854,-0.2913377930239652,0.15256426906897116,0.2187238646614847,0.17375256322624744,0.16768284347231716,0.3648667122351333,0.34118933697881065,-0.02447361247922699,-0.18022119237763848,-0.18597402597402599,1.0,0.23845459801055216
progression_index,0.2786481835025269,-0.30652393888284546,-0.318363273929121,-0.31598446988980006,-0.10256480371328423,-0.23130451460500703,-0.38400175037637635,-0.3298245920296535,-0.283638203470068,-0.14886499590817182,0.22090217468603993,0.14760456260791338,0.211672545636818,0.20111831162327906,0.0968474012330439,0.13170918456791997,-0.03634325105207676,-0.39100417012858313,-0.2142017338395443,0.23845459801055216,1.0
