band,channel,value,group,mean,sd,n
theta,Fp2-A1,rel,SYN,0.13550300539657636,0.042782223717797475,19
theta,Fp2-A1,rel,TCSPi,0.1567777654871943,0.03860274896325182,39
theta,Fp2-A1,abs,EAI,1.248255617648736e-10,8.93362251301456e-11,7
theta,Fp2-A1,abs,Narco,4.293639175860359e-09,1.3279370348713727e-08,11
theta,Fp2-A1,abs,SYN,4.958096074066426e-09,2.1000033938755323e-08,19
theta,Fp2-A1,abs,TCSPi,1.120213188239353e-10,7.716617792071915e-11,39
theta,T4-A1,rel,EAI,0.17656661168260804,0.053472227107165905,7
theta,T4-A1,rel,Narco,0.18237382146199496,0.0558097073046069,11
theta,T4-A1,rel,SYN,0.14760480597627454,0.04605178926494826,19
theta,T4-A1,rel,TCSPi,0.17642889056103328,0.04824352835069403,39
theta,T4-A1,abs,EAI,1.1913271674452958e-10,9.557269992465726e-11,7
theta,T4-A1,abs,Narco,4.301784559273262e-09,1.3279007337923932e-08,11
theta,T4-A1,abs,SYN,4.953303408243405e-09,2.1015277624313057e-08,19
theta,T4-A1,abs,TCSPi,8.897030807075375e-11,7.25990314877218e-11,39
theta,T3-A1,rel,EAI,0.16001608300017542,0.050997136312323464,7
theta,T3-A1,rel,Narco,0.16099078827959473,0.047668294863721386,11
theta,T3-A1,rel,SYN,0.12422453910553112,0.05024450133592927,19
theta,T3-A1,rel,TCSPi,0.15736840938986588,0.04164329751902789,39
theta,T3-A1,abs,EAI,6.87354559087124e-11,9.094541940277942e-11,7
theta,T3-A1,abs,Narco,4.228496096482708e-09,1.3287373095731078e-08,11
theta,T3-A1,abs,SYN,5.4149322710244545e-09,2.1012247788283102e-08,19
theta,T3-A1,abs,TCSPi,1.1675158909047077e-09,6.9190308079130435e-09,39
theta,C3-A1,rel,EAI,0.1826756023924338,0.056885710373713184,7
theta,C3-A1,rel,Narco,0.19640068109187334,0.04309805529526363,11
theta,C3-A1,rel,SYN,0.15411429406552804,0.04657470259471979,19
theta,C3-A1,rel,TCSPi,0.18436288920372768,0.04084285476240033,39
theta,C3-A1,abs,EAI,1.0346555064215398e-10,9.457947243492891e-11,7
theta,C3-A1,abs,Narco,4.297973407691065e-09,1.3272118970391624e-08,11
theta,C3-A1,abs,SYN,4.921110433264353e-09,2.1014150433221195e-08,19
theta,C3-A1,abs,TCSPi,8.744168851609003e-11,8.136290185953733e-11,39
theta,C4-A1,rel,EAI,0.1827868520421649,0.055440782662595056,7
theta,C4-A1,rel,Narco,0.19571004802186567,0.04667413719309481,11
theta,C4-A1,rel,SYN,0.16029724069512438,0.04243857587376132,19
theta,C4-A1,rel,TCSPi,0.1858461023149006,0.04262328640101554,39
theta,C4-A1,abs,EAI,1.263331757484685e-10,9.207086088466926e-11,7
theta,C4-A1,abs,Narco,4.482443356911871e-09,1.3235098469660665e-08,11
theta,C4-A1,abs,SYN,4.950434065572553e-09,2.1022230123376998e-08,19
theta,C4-A1,abs,TCSPi,1.0365983302019582e-10,7.426333274692013e-11,39
alpha,Fp1-C3,rel,EAI,0.07622099503975042,0.03861376426303912,7
alpha,Fp1-C3,rel,Narco,0.06002535566284735,0.023892680870923513,11
alpha,Fp1-C3,rel,SYN,0.07956059325947482,0.03446570847107585,19
alpha,Fp1-C3,rel,TCSPi,0.09546063710641403,0.03621502737094382,39
alpha,Fp1-C3,abs,EAI,1.6481205731489275e-11,9.367988795334247e-12,7
alpha,Fp1-C3,abs,Narco,3.302291435276318e-11,3.3797099686812264e-11,11
alpha,Fp1-C3,abs,SYN,9.008689595137756e-11,2.770508356893269e-10,19
alpha,Fp1-C3,abs,TCSPi,4.410506103581572e-11,1.046810065826461e-10,39
alpha,Fp1-T3,rel,EAI,0.06842200829700634,0.02082543051210788,7
alpha,Fp1-T3,rel,Narco,0.059024783084833034,0.02071962161439111,11
alpha,Fp1-T3,rel,SYN,0.07353849042306351,0.03800969819352448,19
alpha,Fp1-T3,rel,TCSPi,0.09053562019615033,0.029522541834460653,39
alpha,Fp1-T3,abs,EAI,1.1734064662120508e-11,2.8812074410077088e-12,7
alpha,Fp1-T3,abs,Narco,4.580870217643728e-11,7.811764244971342e-11,11
alpha,Fp1-T3,abs,SYN,2.369654897989656e-10,6.823686848460241e-10,19
alpha,Fp1-T3,abs,TCSPi,7.945432111716819e-10,4.671526965689715e-09,39
alpha,T3-O1,rel,EAI,0.11309023367291664,0.04553005640031708,7
alpha,T3-O1,rel,Narco,0.10373874943447561,0.03416481873027547,11
alpha,T3-O1,rel,SYN,0.09608164420835882,0.04443361675105913,19
alpha,T3-O1,rel,TCSPi,0.11409514540239091,0.033660692300655444,39
alpha,T3-O1,abs,EAI,2.994672752543736e-11,3.146652744654406e-11,7
alpha,T3-O1,abs,Narco,2.5948662625717004e-10,6.059463521701732e-10,11
alpha,T3-O1,abs,SYN,1.801826514662641e-10,6.375013886660901e-10,19
alpha,T3-O1,abs,TCSPi,7.955464187176985e-10,4.661796050852894e-09,39
alpha,Fp2-T4,rel,EAI,0.07009843925493692,0.016711157955536945,7
alpha,Fp2-T4,rel,Narco,0.05898124356588877,0.020937063239414543,11
alpha,Fp2-T4,rel,SYN,0.07466543250859768,0.036959757382149086,19
alpha,Fp2-T4,rel,TCSPi,0.09000365747304813,0.03164694916016059,39
alpha,Fp2-T4,abs,EAI,1.3185657264408458e-11,4.614599946968847e-12,7
alpha,Fp2-T4,abs,Narco,3.3340270145379234e-11,3.2479626882952365e-11,11
alpha,Fp2-T4,abs,SYN,2.6934489186273995e-11,2.0121679214585615e-11,19
alpha,Fp2-T4,abs,TCSPi,2.4927625970004438e-11,1.8066849904476475e-11,39
alpha,Fp1-A1,rel,EAI,0.07432260935216957,0.0245597312423774,7
alpha,Fp1-A1,rel,Narco,0.06774765339102408,0.024243191601950598,11
alpha,Fp1-A1,rel,SYN,0.0684534272397387,0.02857379689045716,19
alpha,Fp1-A1,rel,TCSPi,0.08674855499167616,0.026977841270071024,39
alpha,Fp1-A1,abs,EAI,3.679165951721662e-11,1.8321786131538524e-11,7
alpha,Fp1-A1,abs,Narco,1.6261560843379756e-09,4.9781313878831355e-09,11
alpha,Fp1-A1,abs,SYN,1.5728169108860743e-09,6.313096808581181e-09,19
alpha,Fp1-A1,abs,TCSPi,6.525160005698972e-11,1.0874957162547914e-10,39
alpha,Fp2-C4,rel,EAI,0.07732534985303954,0.03655345402540782,7
alpha,Fp2-C4,rel,Narco,0.0618525865223142,0.02439248386805205,11
alpha,Fp2-C4,rel,SYN,0.07773268704326032,0.031244786753158504,19
alpha,Fp2-C4,rel,TCSPi,0.09342864889257123,0.035902283417441776,39
alpha,Fp2-C4,abs,EAI,1.685292244438219e-11,7.747121383353837e-12,7
alpha,Fp2-C4,abs,Narco,9.786723013581666e-11,1.9555807911576845e-10,11
alpha,Fp2-C4,abs,SYN,2.4941308971067626e-11,1.34893602409871e-11,19
alpha,Fp2-C4,abs,TCSPi,2.4752708811569224e-11,2.323276537349322e-11,39
alpha,T4-O2,rel,EAI,0.10418628846441622,0.050654965682696604,7
alpha,T4-O2,rel,Narco,0.10908844180766425,0.038014327874240965,11
alpha,T4-O2,rel,SYN,0.09705276670161422,0.04561271733832241,19
alpha,T4-O2,rel,TCSPi,0.11231156101359101,0.033812702693176364,39
alpha,T4-O2,abs,EAI,2.94508855176715e-11,2.689319070961115e-11,7
alpha,T4-O2,abs,Narco,9.85853523209166e-10,2.463232259848212e-09,11
alpha,T4-O2,abs,SYN,3.306744664166993e-11,1.981924270561877e-11,19
alpha,T4-O2,abs,TCSPi,4.1275052553187535e-11,4.032669201321784e-11,39
alpha,Fp2-A1,rel,EAI,0.07786451363988499,0.025311861186625338,7
alpha,Fp2-A1,rel,Narco,0.06912073964890574,0.02476047304645964,11
alpha,Fp2-A1,rel,SYN,0.07145592025350901,0.030532343043261845,19
alpha,Fp2-A1,rel,TCSPi,0.08720799058172594,0.02666530613655156,39
alpha,Fp2-A1,abs,EAI,4.4429019134738323e-11,2.1418322075186688e-11,7
alpha,Fp2-A1,abs,Narco,1.6333338696460697e-09,4.9775258213597425e-09,11
alpha,Fp2-A1,abs,SYN,1.5179174594325745e-09,6.318494528303728e-09,19
alpha,Fp2-A1,abs,TCSPi,5.382697105910681e-11,3.6377112335489265e-11,39
alpha,C3-A1,rel,EAI,0.09331007049085234,0.028314897628116474,7
alpha,C3-A1,rel,Narco,0.08209820925204951,0.024338124970024258,11
alpha,C3-A1,rel,SYN,0.09176506784996798,0.03575150141338094,19
alpha,C3-A1,rel,TCSPi,0.10962577435564139,0.03450004855514188,39
alpha,C3-A1,abs,EAI,3.4984409959377e-11,1.9797486004579545e-11,7
alpha,C3-A1,abs,Narco,1.6280784836159715e-09,4.964455721124944e-09,11
alpha,C3-A1,abs,SYN,1.5069582498260435e-09,6.323992609840827e-09,19
alpha,C3-A1,abs,TCSPi,4.7186160016851815e-11,3.770361850286887e-11,39
alpha,T3-A1,rel,EAI,0.08280784409312138,0.018333833536892063,7
alpha,T3-A1,rel,Narco,0.07719827728625,0.0261057701734988,11
alpha,T3-A1,rel,SYN,0.07719661203479172,0.040592734800352546,19
alpha,T3-A1,rel,TCSPi,0.09502147084873518,0.031580834229830324,39
alpha,T3-A1,abs,EAI,1.9864993591721224e-11,1.9743111101721383e-11,7
alpha,T3-A1,abs,Narco,1.6122028026328716e-09,4.961371876394719e-09,11
alpha,T3-A1,abs,SYN,1.6367548097273136e-09,6.320548070569649e-09,19
alpha,T3-A1,abs,TCSPi,7.770915257111149e-10,4.667161936316668e-09,39
alpha,T4-A1,rel,EAI,0.10029540907501122,0.01919685165357545,7
alpha,T4-A1,rel,Narco,0.09319878134164314,0.03131127243045026,11
alpha,T4-A1,rel,SYN,0.09509829001726361,0.051216190468563134,19
alpha,T4-A1,rel,TCSPi,0.11635622001619673,0.03773380313887882,39
alpha,T4-A1,abs,EAI,4.55721863827256e-11,2.337710216010428e-11,7
alpha,T4-A1,abs,Narco,1.6429921895076565e-09,4.9729716029752795e-09,11
alpha,T4-A1,abs,SYN,1.5155175883315285e-09,6.3208072343421664e-09,19
alpha,T4-A1,abs,TCSPi,4.7051272240981164e-11,3.146590654998246e-11,39
alpha,C4-A1,rel,EAI,0.1008237773574374,0.028587303014996537,7
alpha,C4-A1,rel,Narco,0.08865535404084962,0.027897771732503334,11
alpha,C4-A1,rel,SYN,0.09445808007031635,0.036340317690146666,19
alpha,C4-A1,rel,TCSPi,0.11357901374294507,0.0346885147158483,39
alpha,C4-A1,abs,EAI,5.1793402260598886e-11,2.7299550186233185e-11,7
alpha,C4-A1,abs,Narco,1.7055478706741e-09,4.948175309347798e-09,11
alpha,C4-A1,abs,SYN,1.5187226689921495e-09,6.3185244997057785e-09,19
alpha,C4-A1,abs,TCSPi,5.904385258363142e-11,4.1796222046153826e-11,39
beta,T3-O1,rel,EAI,0.11082676640725818,0.057063575443160514,7
beta,T3-O1,rel,Narco,0.0647857288244389,0.039582498425528856,11
beta,T3-O1,rel,SYN,0.09931689284055949,0.050387942437812215,19
beta,T3-O1,rel,TCSPi,0.09936937000990746,0.04163626434879577,39
beta,T3-O1,abs,EAI,3.3624583986115075e-11,3.403953860469761e-11,7
beta,T3-O1,abs,Narco,2.81176250002237e-10,7.648275497890738e-10,11
beta,T3-O1,abs,SYN,2.0579345052011867e-10,6.884142791783028e-10,19
beta,T3-O1,abs,TCSPi,9.122473661962779e-10,5.390994895922667e-09,39
beta,Fp1-T3,rel,EAI,0.11860468632880336,0.06254057118873665,7
beta,Fp1-T3,rel,Narco,0.07200444985858839,0.03447661229409888,11
beta,Fp1-T3,rel,SYN,0.11322444749618094,0.05007550352517183,19
beta,Fp1-T3,rel,TCSPi,0.125536295183232,0.04905020833444172,39
beta,Fp1-T3,abs,EAI,2.4220325715657636e-11,7.984161479100535e-12,7
beta,Fp1-T3,abs,Narco,7.38509575377617e-11,1.3150800413125457e-10,11
beta,Fp1-T3,abs,SYN,2.6718952119858447e-10,7.011443671458112e-10,19
beta,Fp1-T3,abs,TCSPi,9.43354344043025e-10,5.394558793536572e-09,39
beta,Fp1-C3,rel,EAI,0.12032699659994836,0.06742386596249748,7
beta,Fp1-C3,rel,Narco,0.0643717553682702,0.031877111872290066,11
beta,Fp1-C3,rel,SYN,0.11535148224803086,0.05492852245243154,19
beta,Fp1-C3,rel,TCSPi,0.13396076624729147,0.04729280304840026,39
beta,Fp1-C3,abs,EAI,2.4791821526865677e-11,7.332434732874407e-12,7
