feature,importance
Gamma_power_20,0.0011312601407904182
Alpha_wavelet_0_6,0.0011252506401849248
Gamma_wavelet_7_7,0.001125210629139994
Gamma_wavelet_0_8,0.0011234778818388679
Beta_wavelet_5_9,0.001122121268913748
Gamma_var_13,0.0011186118175967258
Theta_std_23,0.0011089245595007073
Alpha_var_15,0.0011050520362321707
Gamma_power_18,0.001100610118194618
Gamma_psd_mean_13,0.001095062950659851
Theta_var_12,0.0010941807933658428
Gamma_wavelet_7_8,0.0010928692146988193
Beta_wavelet_18_6,0.0010816041941318223
Delta_wavelet_12_6,0.0010771511632604051
Theta_var_31,0.001077103704682012
Beta_psd_mean_7,0.0010684805852161727
Gamma_wavelet_13_7,0.0010634175019445648
Theta_psd_mean_13,0.001060483810866951
Beta_wavelet_21_7,0.0010544910543950933
Gamma_psd_mean_21,0.0010496447862520658
Gamma_wavelet_5_6,0.0010464506253451415
Beta_wavelet_18_9,0.0010431959016817356
Beta_var_18,0.0010430572296330903
Alpha_psd_mean_13,0.0010375654863782299
Gamma_power_26,0.0010224249844575774
Delta_wavelet_23_6,0.0010184743807694129
Theta_wavelet_5_6,0.0010129265244935158
Beta_wavelet_5_6,0.001007502006482448
Gamma_psd_mean_5,0.0009919657195654249
Delta_psd_mean_13,0.000988621656941147
Delta_var_3,0.000978540356331598
Gamma_power_13,0.0009773891883120558
Delta_wavelet_13_8,0.0009683795555714089
Gamma_wavelet_12_5,0.0009673437326269314
Alpha_psd_mean_5,0.0009661534729762188
Theta_power_12,0.0009589030879874081
Beta_psd_mean_20,0.0009547259279775423
Theta_wavelet_13_8,0.0009538494638059432
Beta_psd_mean_13,0.0009478512801571172
Beta_wavelet_20_9,0.0009474053990840134
Theta_psd_mean_17,0.0009437808238502672
Beta_power_6,0.0009402115143788
Theta_wavelet_23_7,0.0009336663479240352
Delta_std_9,0.0009290603482950524
Alpha_wavelet_20_6,0.0009226637741272426
Alpha_wavelet_5_5,0.0009095181064413321
Alpha_psd_mean_23,0.0009087914527831435
Beta_wavelet_24_9,0.000903701044690129
Alpha_wavelet_12_6,0.0008971745135666399
Beta_wavelet_13_8,0.0008961943854372418
Alpha_power_4,0.0008951402855763167
Gamma_power_0,0.0008923532718422051
Theta_std_6,0.0008894956036516292
Beta_psd_mean_18,0.0008887792449946808
Beta_std_15,0.0008830887261557029
Theta_power_14,0.0008830846781783859
Theta_power_31,0.0008826370999452025
Gamma_var_0,0.0008740376654702911
Beta_std_6,0.0008708831553874027
Theta_var_5,0.0008631460877137707
Gamma_wavelet_5_8,0.0008609035649903738
Theta_wavelet_0_6,0.0008540518061358052
Alpha_std_18,0.0008462073341288381
Beta_wavelet_23_9,0.0008433558237620672
Delta_std_5,0.0008420665417187249
Beta_power_13,0.0008408654964541682
Delta_var_14,0.000840069456590426
Alpha_wavelet_9_6,0.0008343965344519409
Gamma_std_16,0.0008278843213968089
Theta_skew_7,0.0008239557776839007
Alpha_std_20,0.0008199406407891479
Alpha_wavelet_13_6,0.0008094549171884644
Beta_std_24,0.0008090708146188536
Alpha_wavelet_5_6,0.0008071060952138211
Beta_wavelet_4_9,0.0008057249365598597
Beta_wavelet_17_6,0.0008023814819690308
Gamma_wavelet_21_8,0.0007993982884763863
Alpha_psd_mean_15,0.0007981462006552011
Beta_wavelet_22_6,0.0007965962053074418
Gamma_wavelet_2_9,0.0007964805791357628
Gamma_power_2,0.0007918702004428752
Theta_wavelet_3_6,0.0007899643660124957
Theta_std_22,0.0007871045312793142
Beta_wavelet_18_7,0.0007869111118716859
Beta_wavelet_20_7,0.0007859704764243636
Gamma_wavelet_1_6,0.0007854730945736848
Beta_psd_mean_11,0.0007799553271463636
Alpha_power_20,0.0007793924698695905
Beta_std_21,0.0007791514361920571
Beta_std_20,0.0007761439803981646
Gamma_var_2,0.0007743631780735877
Theta_var_22,0.0007654313059985605
Beta_wavelet_2_7,0.0007649528342309159
Theta_wavelet_21_6,0.0007605848718627094
Delta_wavelet_22_6,0.0007566487901494279
Delta_wavelet_0_8,0.0007540635021600643
Alpha_wavelet_25_5,0.0007505591669079603
Alpha_wavelet_15_6,0.0007475084569314663
Theta_wavelet_5_5,0.0007468772382594231
Beta_power_1,0.0007454874201579496
Alpha_var_4,0.0007449060453634401
Gamma_wavelet_26_6,0.0007383580782879471
Theta_wavelet_6_7,0.0007336376514638332
Delta_wavelet_17_8,0.0007320679338711282
Alpha_std_15,0.0007283424078220213
Theta_wavelet_11_6,0.0007283351293715914
Theta_wavelet_13_7,0.0007246054596261738
Gamma_wavelet_21_6,0.0007230672096080463
