feature,importance
Gamma_mean_19,0.00014932346
Beta_wavelet_18_8,0.00014845784
Alpha_mean_24,0.00014830138
Beta_skew_9,0.00014798615
Gamma_skew_4,0.00014796722
Alpha_wavelet_16_5,0.00014606344
Delta_wavelet_23_7,0.00014469118
Delta_wavelet_26_6,0.0001408637
Theta_wavelet_17_7,0.00013963446
Delta_wavelet_23_8,0.0001381005
Delta_wavelet_14_9,0.00013738565
Delta_wavelet_6_6,0.00013731427
Gamma_wavelet_27_5,0.00013679637
Alpha_power_26,0.00013678533
Theta_power_4,0.00013601474
Alpha_wavelet_4_6,0.00013502366
Delta_mean_21,0.000134154
Theta_wavelet_6_9,0.00013348402
Theta_std_23,0.00013321055
Alpha_skew_6,0.00013281549
Delta_wavelet_17_8,0.00013178296
Alpha_mean_2,0.00013156212
Theta_wavelet_23_6,0.00013054878
Gamma_wavelet_2_6,0.00013038468
Beta_var_22,0.00012920641
Alpha_skew_19,0.00012902255
Gamma_wavelet_26_8,0.00012778335
Theta_wavelet_7_7,0.0001277261
Delta_var_14,0.00012743621
Gamma_var_18,0.00012737139
Theta_std_29,0.00012690468
Theta_wavelet_12_9,0.0001259986
Gamma_skew_14,0.00012596173
Alpha_wavelet_21_7,0.00012575928
Delta_wavelet_16_7,0.00012559755
Delta_psd_mean_13,0.0001254138
Gamma_wavelet_1_2,0.000124332
Gamma_psd_mean_20,0.00012384074
Alpha_wavelet_29_8,0.00012374735
Delta_var_9,0.00012354435
Beta_mean_24,0.00012317213
Alpha_wavelet_15_8,0.00012285131
Theta_wavelet_23_8,0.0001222772
Theta_psd_mean_15,0.00012218113
Alpha_wavelet_24_5,0.00012213424
Delta_mean_10,0.00012209408
Beta_wavelet_20_3,0.00012147703
Delta_var_19,0.00012131978
Alpha_wavelet_6_6,0.0001200371
Gamma_wavelet_3_5,0.0001198792
Beta_wavelet_15_3,0.0001192455
Alpha_wavelet_29_7,0.00011886975
Beta_wavelet_25_4,0.00011735254
Theta_wavelet_0_6,0.000116968164
Beta_wavelet_24_6,0.00011680527
Gamma_mean_18,0.00011635784
Delta_wavelet_24_6,0.000116020004
Beta_ica_infomax_energy_0,0.0001154864
Delta_var_25,0.0001148138
Alpha_wavelet_4_5,0.00011402258
Delta_psd_mean_25,0.000113554204
Theta_wavelet_29_6,0.00011329162
Beta_var_6,0.00011308886
Delta_skew_5,0.00011171525
Delta_power_5,0.00011026294
Gamma_pca_var_4,0.00010977246
Gamma_wavelet_5_9,0.000108825625
